Filename,a,b
010056-722655.png,6.69,6.17
011055-721804.png,7.17,6.11
010813-721144.png,7.03,6.25
010215-723042.png,8.16,6.6
005843-722520.png,13.17,12.62
010814-715555.png,6.86,6.18
010123-715918.png,8.39,6.44
010233-715141.png,6.85,5.89
010145-721707.png,6.55,6.1
010428-721644.png,6.65,5.76
011025-720529.png,13.08,6.39
010211-712021.png,6.53,6.03
010029-714146.png,6.8,6.15
005729-720522.png,6.79,6.06
010123-715446.png,7.79,7.53
010808-715322.png,7.19,6.44
010355-712242.png,9.31,7.57
010546-721657.png,7.64,6.05
010921-722038.png,7.07,6.15
010137-720419.png,6.58,6.18
010623-713345.png,6.68,6.01
010047-714105.png,8.38,7.22
010228-724019.png,6.46,6.1
010316-722712.png,6.82,6.01
010149-714302.png,6.59,6.03
010536-713907.png,6.63,6.14
005912-715922.png,7.23,6.2
010120-714447.png,6.69,6.18
010631-715735.png,6.69,6.06
010102-723243.png,6.75,6.08
010603-722322.png,6.67,5.96
010142-720620.png,6.6,6.08
010640-720310.png,7.46,6.86
010344-712605.png,15.4,13.36
010203-722201.png,9.62,7.18
010723-713241.png,6.6,6.21
010427-715123.png,12.96,11.13
010358-713941.png,6.68,6.3
010042-715312.png,6.47,5.82
010038-712900.png,6.48,6.23
010154-712722.png,9.13,8.49
005700-713659.png,6.64,6.19
010344-715938.png,6.7,6.32
011108-722309.png,6.56,6.12
005935-720405.png,7.66,7.37
010136-714506.png,6.57,5.97
005800-713903.png,6.55,5.91
005728-720135.png,6.69,6.05
010021-724034.png,7.22,6.22
010347-722703.png,6.67,6.49
010719-720555.png,11.67,7.74
010112-712354.png,6.6,6.01
010200-723651.png,6.88,6.23
010859-713350.png,7.59,6.37
010344-714925.png,6.58,5.9
005930-722753.png,6.85,6.65
010350-722727.png,7.03,6.45
010603-712658.png,7.43,6.1
010447-720808.png,6.54,6.22
010035-715654.png,6.58,6.0
010746-721235.png,6.27,6.1
010249-715618.png,6.82,6.22
005943-714558.png,6.67,6.46
005734-723244.png,6.69,6.03
005810-715056.png,6.96,6.15
011132-714451.png,7.73,6.66
010435-713023.png,10.08,7.58
010648-721849.png,6.73,6.29
010408-715354.png,7.05,5.99
010035-722602.png,6.62,6.22
011002-720143.png,6.63,6.28
010647-712540.png,6.53,5.91
010126-721437.png,8.03,7.14
010757-713611.png,7.21,6.15
005636-714514.png,21.18,11.96
010536-713814.png,8.95,6.91
010729-712639.png,6.8,6.18
010401-712457.png,7.02,6.07
010552-715121.png,6.62,6.34
005704-722053.png,6.49,6.11
010808-715127.png,6.96,6.29
005607-720003.png,6.75,6.57
010633-712835.png,6.48,6.29
011038-721740.png,7.29,6.3
010515-720517.png,7.1,6.84
010701-715329.png,6.73,6.07
010601-720336.png,6.63,6.18
010709-721808.png,6.45,6.42
010542-721732.png,7.04,6.38
010855-721329.png,6.82,6.2
005519-720807.png,6.58,6.11
010625-714451.png,6.74,6.15
010211-712741.png,7.16,6.65
010715-722419.png,6.59,6.12
010316-724013.png,7.08,6.92
010608-713613.png,6.55,6.03
010116-722852.png,6.99,6.57
010937-721712.png,7.3,7.21
010717-714650.png,6.25,5.93
010732-715327.png,6.65,5.95
005524-722133.png,7.14,6.35
010216-712529.png,6.52,6.2
010706-722245.png,6.82,6.45
010504-715902.png,6.63,6.12
