subject_id,Filename,flag_rad_point,a,b,is_point
91319368,010530-712813.png,1.0,6.84,6.51,1.0
91319370,010631-715735.png,1.0,6.69,6.06,1.0
91319372,010636-715650.png,1.0,6.49,6.22,1.0
91319374,010709-721808.png,1.0,6.45,6.42,1.0
91319376,010714-720104.png,0.0,6.62,6.02,1.0
91319378,010719-715815.png,0.0,6.59,6.05,1.0
91319380,010726-721753.png,1.0,6.64,6.05,1.0
91319382,010738-713433.png,0.0,6.62,6.02,1.0
91319383,010808-715127.png,1.0,6.96,6.29,1.0
91319385,010856-721139.png,0.0,6.49,5.98,1.0
91319387,005802-720500.png,1.0,7.1,6.32,1.0
91319389,005904-720245.png,0.0,9.12,6.12,0.0
91319391,010010-720227.png,0.0,6.61,6.02,1.0
91319392,010041-720117.png,1.0,7.31,6.34,1.0
91319394,010109-714818.png,0.0,6.9,5.78,1.0
91319396,010137-720419.png,0.0,6.58,6.18,1.0
91319398,010200-713500.png,1.0,6.91,6.3,1.0
91319400,010200-713632.png,1.0,6.63,5.75,1.0
91319401,010201-724002.png,0.0,6.7,5.99,1.0
91319403,010217-715752.png,1.0,6.82,6.32,1.0
91319405,010222-712722.png,0.0,7.25,6.2,1.0
91319407,010230-713447.png,0.0,6.48,5.8,1.0
91319409,010248-712947.png,1.0,8.58,7.92,0.0
91319410,010255-713632.png,0.0,6.42,6.17,1.0
91319412,010314-722126.png,0.0,6.31,6.25,1.0
91319414,010328-713753.png,1.0,6.81,6.11,1.0
91319415,010435-720836.png,0.0,6.34,6.32,1.0
91319417,010458-714435.png,1.0,6.67,6.06,1.0
91319419,010536-713907.png,1.0,6.63,6.14,1.0
91319421,010622-715316.png,1.0,6.67,5.82,1.0
91319422,010645-713541.png,1.0,6.47,6.22,1.0
91319424,010700-715242.png,1.0,6.5,6.13,1.0
91319426,010731-715245.png,1.0,6.53,5.98,1.0
91319427,010748-713035.png,0.0,6.73,6.33,1.0
91319429,010829-714409.png,1.0,6.53,6.27,1.0
91319430,010854-723001.png,1.0,6.63,6.02,1.0
91319431,010910-715640.png,1.0,6.82,6.01,1.0
91319432,011002-720143.png,1.0,6.63,6.28,1.0
91319434,011041-714834.png,1.0,6.55,6.06,1.0
91319435,011050-721026.png,0.0,6.78,6.01,1.0
91319437,011133-715820.png,1.0,6.97,6.57,1.0
91319438,005429-715812.png,1.0,6.57,5.95,1.0
91319440,005506-715021.png,0.0,6.66,6.21,1.0
91319441,005810-714612.png,0.0,9.05,6.52,0.0
91319443,005813-713522.png,0.0,7.68,7.1,0.0
91319445,005820-713041.png,0.0,6.74,6.0,1.0
91319446,005822-720045.png,0.0,6.69,6.06,1.0
91319448,005901-714335.png,1.0,6.26,6.11,1.0
91319450,010010-721547.png,0.0,6.72,6.17,1.0
91319452,010024-722854.png,0.0,6.8,5.78,1.0
91319454,010029-714146.png,1.0,6.8,6.15,1.0
91319455,010113-723902.png,1.0,9.6,7.71,0.0
91319457,010122-721627.png,1.0,6.45,6.01,1.0
91319459,010123-715446.png,1.0,7.79,7.53,0.0
91319460,010214-724031.png,1.0,6.73,6.23,1.0
91319462,010249-715618.png,0.0,6.82,6.22,1.0
91319464,010316-724013.png,0.0,7.08,6.92,0.0
91319465,010434-714510.png,1.0,6.79,6.43,1.0
91319467,010449-713634.png,1.0,6.3,6.25,1.0
91319468,010506-714636.png,0.0,6.66,6.31,1.0
91319470,010509-712841.png,0.0,7.07,6.13,1.0
91319471,010536-713814.png,1.0,8.95,6.91,0.0
91319473,010621-714016.png,1.0,6.75,5.93,1.0
91319474,010647-712540.png,0.0,6.53,5.91,1.0
91319476,010647-715910.png,0.0,6.71,6.29,1.0
91319477,010647-723500.png,0.0,6.34,5.76,1.0
91319479,010708-714307.png,0.0,6.56,6.1,1.0
91319480,010733-714553.png,1.0,6.4,6.23,1.0
91319481,010747-712325.png,1.0,6.48,6.08,1.0
91319483,010917-722027.png,0.0,6.4,6.03,1.0
91319485,010937-721712.png,0.0,7.3,7.21,0.0
91319486,010954-720724.png,0.0,6.59,6.25,1.0
91319487,005524-722133.png,1.0,7.14,6.35,1.0
91319489,005557-721959.png,0.0,6.37,6.14,1.0
91319490,005610-721832.png,0.0,6.53,5.87,1.0
91319492,005620-720417.png,0.0,6.91,6.04,1.0
91319493,005747-720433.png,1.0,7.01,6.66,1.0
91319494,005810-715227.png,0.0,6.48,6.28,1.0
91319495,005859-722951.png,0.0,6.89,6.03,1.0
91319497,005902-722950.png,0.0,6.38,6.11,1.0
91319499,005943-714558.png,0.0,6.67,6.46,1.0
91319501,005954-715804.png,0.0,6.99,6.04,1.0
91319502,010042-715312.png,1.0,6.47,5.82,1.0
91319504,010049-715436.png,0.0,6.66,5.77,1.0
91319506,010211-712741.png,0.0,7.16,6.65,1.0
91319507,010249-715448.png,0.0,6.52,6.08,1.0
91319509,010251-722800.png,1.0,6.48,6.4,1.0
91319511,010344-714925.png,1.0,6.58,5.9,1.0
91319512,010348-722456.png,1.0,6.67,5.99,1.0
91319513,010354-715214.png,0.0,6.38,6.02,1.0
91319514,010515-720517.png,1.0,7.1,6.84,1.0
91319516,010517-722407.png,0.0,6.37,5.88,1.0
91319518,010531-712515.png,0.0,6.44,5.93,1.0
91319519,010633-714807.png,0.0,6.52,5.97,1.0
91319521,010659-721408.png,0.0,6.68,6.1,1.0
91319523,010701-715329.png,0.0,6.73,6.07,1.0
91319524,010729-712639.png,1.0,6.8,6.18,1.0
91319526,010746-721235.png,1.0,6.27,6.1,1.0
91319528,010929-722149.png,0.0,7.11,6.97,0.0
91319529,011038-722823.png,0.0,6.53,5.86,1.0
91319531,011056-720402.png,0.0,6.73,6.45,1.0
91319533,005700-713659.png,1.0,6.64,6.19,1.0
91319534,005704-722053.png,0.0,6.49,6.11,1.0
91319535,005820-720049.png,0.0,7.1,6.19,1.0
91319536,005911-722420.png,0.0,6.44,5.93,1.0
91319538,005928-723139.png,0.0,6.36,6.32,1.0
91319539,010102-713500.png,1.0,6.48,6.26,1.0
91319541,010112-715838.png,1.0,6.2,6.02,1.0
91319542,010139-714322.png,0.0,6.47,6.28,1.0
91319544,010139-714907.png,0.0,7.04,5.85,1.0
91319545,010208-714544.png,0.0,7.4,6.96,0.0
91319546,010217-721415.png,0.0,6.39,5.92,1.0
91319547,010227-714414.png,0.0,8.21,7.09,0.0
91319549,010358-720154.png,0.0,7.6,6.03,1.0
91319551,010422-713338.png,1.0,6.71,6.18,1.0
91319552,010432-720443.png,0.0,6.55,6.0,1.0
91319553,010454-721019.png,0.0,6.5,6.24,1.0
91319555,010504-715902.png,0.0,6.63,6.12,1.0
91319557,010513-714148.png,0.0,6.57,6.13,1.0
91319558,010530-721022.png,0.0,6.5,6.4,1.0
91319560,010654-715437.png,1.0,6.68,6.15,1.0
91319561,010720-722548.png,1.0,6.64,5.9,1.0
91319563,010740-715246.png,1.0,6.81,6.02,1.0
91319564,010815-722246.png,1.0,6.72,5.98,1.0
91319566,010859-713350.png,1.0,7.59,6.37,1.0
91319568,010906-721206.png,1.0,6.46,6.11,1.0
91319569,010918-713819.png,1.0,6.66,5.76,1.0
91319571,010918-720518.png,0.0,6.76,6.31,1.0
91319572,010925-713736.png,0.0,6.79,5.98,1.0
91319574,011048-721032.png,0.0,6.55,6.21,1.0
91319576,011049-720946.png,0.0,6.94,6.51,1.0
91319577,005503-714525.png,0.0,6.5,6.5,1.0
