,subject_id,data.yes,data.no,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.yes-it-looks-like-a-radio-point-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,multi-source,homogeneous,point-star,oddORnot-sure,core-in-diffuse,Sum,Total_Class,multiFrac,homoFrac,pointFrac,unsureOddFrac,coreFrac,ext_radFrac,point_radFrac,flag_rad_point,flag_rad_extended,flag_rad_unsure,flag_optical_counterpart,metadata,locations,classifications_count,Filename,LCurl
1064,91321603,4.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,5.0,0.0,0.25,0.0,0.0,0.75,0.2,0.8,0.0,0.0,1.0,1.0,"{""Filename"":""012716-725449.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/312f90f2-5f2c-412f-8473-b3b8b45a41e2.png""}",5,012716-725449.png,https://panoptes-uploads.zooniverse.org/subject_location/312f90f2-5f2c-412f-8473-b3b8b45a41e2.png
1065,91321605,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,"{""Filename"":""012717-734502.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e5e3ca50-e291-4795-893e-66ff29b9197a.png""}",5,012717-734502.png,https://panoptes-uploads.zooniverse.org/subject_location/e5e3ca50-e291-4795-893e-66ff29b9197a.png
1066,91321606,2.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0.5,0.0,0.5,0.4,0.6,0.0,0.0,1.0,0.0,"{""Filename"":""012717-735749.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/6f578666-66c0-4335-87f9-3081f5fac9e8.png""}",5,012717-735749.png,https://panoptes-uploads.zooniverse.org/subject_location/6f578666-66c0-4335-87f9-3081f5fac9e8.png
1067,91321608,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012717-740424.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/a4fae4fd-e6d3-48b5-8ceb-2f8b5524df52.png""}",5,012717-740424.png,https://panoptes-uploads.zooniverse.org/subject_location/a4fae4fd-e6d3-48b5-8ceb-2f8b5524df52.png
1068,91321609,1.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,"{""Filename"":""012719-732252.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/0770de77-739a-466b-8116-01730ba58b8b.png""}",5,012719-732252.png,https://panoptes-uploads.zooniverse.org/subject_location/0770de77-739a-466b-8116-01730ba58b8b.png
1069,91321611,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012720-733747.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/a573ea00-ee16-402d-9a2a-e632df25505f.png""}",5,012720-733747.png,https://panoptes-uploads.zooniverse.org/subject_location/a573ea00-ee16-402d-9a2a-e632df25505f.png
1070,91321612,4.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,1.0,"{""Filename"":""012721-734221.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/6f7f6160-1726-49d2-a5d7-1d7258f65e0c.png""}",5,012721-734221.png,https://panoptes-uploads.zooniverse.org/subject_location/6f7f6160-1726-49d2-a5d7-1d7258f65e0c.png
1071,91321613,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012722-740205.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/42077fb1-18e6-4785-94a0-9385703e9ebf.png""}",5,012722-740205.png,https://panoptes-uploads.zooniverse.org/subject_location/42077fb1-18e6-4785-94a0-9385703e9ebf.png
1072,91321614,2.0,3.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,"{""Filename"":""012727-734759.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f4ba1e91-45ef-45e9-95f6-35a76b03d460.png""}",5,012727-734759.png,https://panoptes-uploads.zooniverse.org/subject_location/f4ba1e91-45ef-45e9-95f6-35a76b03d460.png
1073,91321616,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012729-725836.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ee221aa3-3c5e-4c72-9db3-dcd1aaf4919e.png""}",5,012729-725836.png,https://panoptes-uploads.zooniverse.org/subject_location/ee221aa3-3c5e-4c72-9db3-dcd1aaf4919e.png
